ym,Client,recovered,n
2026-05,Elixir,-772.727272727,1
2026-05,Elixir Insurance,26982.54,6
2026-05,EmblemHealth,70059.25,19
2026-05,Empire,92853.16,3
2026-05,Excellus,14986.333636364,20
2026-05,GHI_RX,98340.19,36
2026-05,Health Alliance Plan,18125.23,7
2026-05,HealthSpring,1245843.95,28
2026-05,MMOH_RX,2563.52,3
2026-05,Medical Mutual of Ohio,3997.42,3
2026-05,NY State Health Insurance Plan,78854.86,11
2026-05,NYSHIP,132575.772727273,1
2026-05,OSCAR,702725.91,6
2026-05,OSC_RX,60237.04,15
2026-05,Tufts,12552.57,3
2026-05,Wellcare,6897423.11,3
2026-05,Wellpoint Part D,487093.01,4
2026-06,AETNA_CHK,9829.01,10
2026-06,AHP_RX,539342.07,245
2026-06,AHP_RX ,394.0,4
2026-06,AHRP_RX,267240.85,152
2026-06,ASH,6663.03,1
2026-06,Aetna,3684637.208181818,64
2026-06,Anthem Central,25395.37,2
2026-06,Anthem Commercial Expansion,1757551.11,2
2026-06,Anthem Retro Term Recovery Program,590.98,1
2026-06,Anthem SE,288127.31,2
2026-06,Arkansas Blue,32007.86,1
2026-06,BCBS GA,146541.78,2
2026-06,BCBS NC,168345.94,38
2026-06,BCBSNCF_RX,12354.69,9
2026-06,BlueCross BlueShield South Carolina,10359.42,5
2026-06,Carefirst Commercial,145312.2,2
2026-06,Centene,5953882.237272727,6
2026-06,Centene Fidelis,35684.86,2
2026-06,EMBFAC_RX,1526.5,2
2026-06,Elevance,396659.090909091,1
2026-06,Elixir Insurance,5796.97,3
2026-06,EmblemHealth,204264.57,25
2026-06,Empire,205654.96,2
2026-06,EverNorth,3294310.43,5
2026-06,Evernorth,2315351.909090909,1
2026-06,Excellus,258576.467272727,28
2026-06,GHI_RX,28065.47,11
2026-06,HAP_RX,2157.22,1
2026-06,HNA_RX,25769.4,2
2026-06,Health Alliance Plan,113670.08,10
2026-06,HealthSpring,2655239.0,37
2026-06,Medical Mutual of Ohio,4393.22,4
2026-06,NY State Health Insurance Plan,478682.29,15
2026-06,NYSHIP,132575.772727273,1
2026-06,OSCAR,394812.44,3
2026-06,OSC_RX,134920.6,12
2026-06,Tufts,90861.95,3
2026-06,Wellcare,4488493.3,4
2026-06,Wellpoint Part D,834913.45,4
2026-07,AETNA_CHK,537.16,4
2026-07,AHP_RX,965306.65,332
2026-07,AHRP_RX,257611.57,145
2026-07,ASH,117.8,1
2026-07,Aetna,2899535.593636364,54
2026-07,Anthem Central,13993.14,1
2026-07,Anthem Commercial Expansion,1121072.97,3
2026-07,Anthem Retro Term Recovery Program,150.0,1
2026-07,Anthem SE,265123.64,2
2026-07,Arkansas Blue,31794.25,6
2026-07,BCBS GA,135014.91,2
2026-07,BCBS NC,1026212.621818182,38
2026-07,BCBSNCF_RX,25093.81,10
2026-07,BlueCross BlueShield South Carolina,52999.35,6
2026-07,Carefirst Commercial,492890.45,4
2026-07,Centene,5668785.358181818,9
2026-07,Centene Fidelis,133927.57,5
2026-07,Cigna,1523936.363636364,2
2026-07,EMBFAC_RX,6657.6,4
2026-07,Elevance,-118431.818181819,2
2026-07,Elixir,-386.363636364,1
2026-07,Elixir Insurance,42097.56,5
2026-07,EmblemHealth,228088.65,29
2026-07,Empire,151319.83,2
2026-07,EverNorth,247081.35,2
2026-07,Evernorth,1388480.136363636,1
2026-07,Excellus,121389.46,26
2026-07,GHI_RX,64309.57,24
2026-07,HAP_RX,31409.97,23
2026-07,HNA_RX,53021.42,9
2026-07,Health Alliance Plan,40455.7,14
2026-07,HealthSpring,1937776.9,32
2026-07,MMOH_RX,1750.0,1
2026-07,Medical Mutual of Ohio,-2422.88,2
2026-07,NY State Health Insurance Plan,53646.15,13
2026-07,NYSHIP,132575.772727273,1
2026-07,OSCAR,254522.69,3
2026-07,OSC_RX,15598.64,4
2026-07,Tufts,44678.02,4
2026-07,Wellcare,6534179.85,4
2026-07,Wellpoint Part D,592577.8,2
2026-08,AETNA_CHK,2774.11,10
2026-08,AFC,116590.909090909,1
2026-08,AHP_RX,509680.61,221
2026-08,AHP_RX ,98.5,1
2026-08,AHRP_RX,367880.53,192
2026-08,ASH,7742.37,1
2026-08,Aetna,2371236.377272727,53
2026-08,Anthem Central,78218.23,2
2026-08,Anthem Commercial Expansion,1323588.14,3
2026-08,Anthem Retro Term Recovery Program,150.0,1
2026-08,Anthem SE,253085.52,2
2026-08,Arkansas Blue,3239.03,9
2026-08,BCBS GA,113511.17,2
2026-08,BCBS NC,309633.125454545,34
2026-08,BCBSNCF_RX,34535.58,14
2026-08,BlueCross BlueShield South Carolina,18430.8,6
2026-08,Carefirst Commercial,195773.56,3
2026-08,Centene,6500323.944545455,8
2026-08,Centene Fidelis,92144.27,2
2026-08,Cigna,157727.272727273,1
2026-08,Elevance,22227.272727273,1
2026-08,Elixir,-1159.090909091,1
2026-08,Elixir Insurance,11673.96,5
2026-08,EmblemHealth,64957.24,17
2026-08,Empire,209658.6,2
2026-08,EverNorth,265408.18,3
2026-08,Evernorth,1377945.136363636,1
2026-08,Excellus,65921.848181818,23
2026-08,GHI_RX,156702.45,24
2026-08,HAP_RX,18166.44,7
2026-08,HIP_RX,5996.6,2
2026-08,HSS_RX,4448.84,2
2026-08,Health Alliance Plan,13048.26,8
2026-08,HealthSpring,1536729.48,31
2026-08,MMOH_RX,3099.54,2
2026-08,Medical Mutual of Ohio,198.92,2
2026-08,NY State Health Insurance Plan,676339.08,11
2026-08,NYSHIP,132575.772727273,1
2026-08,OSCAR,417564.74,5
2026-08,OSC_RX,16852.81,10
2026-08,Tufts,49017.72,7
2026-08,Wellcare,9194126.97,4
2026-08,Wellpoint Part D,1104579.67,7
2026-09,AHP_RX,83289.29,39
2026-09,AHRP_RX,2276.35,4
2026-09,Aetna,544683.16,8
2026-09,BCBS NC,108342.58,6
2026-09,BlueCross BlueShield South Carolina,13132.27,2
2026-09,EmblemHealth,8282.67,5
2026-09,Excellus,2575.48,4
2026-09,HealthSpring,363391.43,6
2026-09,MMOH_RX,8660.05,3
2026-09,NY State Health Insurance Plan,4343.77,1
2026-09,OSC_RX,8829.81,3
2026-09,Tufts,9880.02,1
